date,district,dumping_site,total_waste_tonnes,plastic_tonnes,plastic_percent,metal_tonnes,metal_percent,organic_tonnes,organic_percent,paper_tonnes,paper_percent,glass_tonnes,glass_percent
2025-03-06,Ablekuma North,North Dumping Site,26.49,13.27,50.1,9.2,34.7,1.71,6.5,1.71,6.5,0.6,2.3
2025-03-06,Ayawaso West,West Dumping Site,19.59,5.13,26.2,2.34,11.9,3.14,16.0,0.05,0.3,8.93,45.6
2025-03-07,Ablekuma North,North Dumping Site,23.59,2.28,9.7,2.3,9.7,4.12,17.5,8.46,35.9,6.43,27.3
2025-03-07,Ayawaso West,West Dumping Site,21.63,3.32,15.4,9.13,42.2,1.45,6.7,3.33,15.4,4.4,20.3
2025-03-08,Ablekuma North,North Dumping Site,29.4,2.32,7.9,7.51,25.5,9.34,31.8,0.49,1.7,9.73,33.1
2025-03-08,Ayawaso West,West Dumping Site,19.32,0.44,2.3,0.16,0.8,6.96,36.0,7.89,40.8,3.87,20.0
2025-03-09,Ablekuma North,North Dumping Site,23.2,10.36,44.7,5.21,22.5,1.17,5.0,6.14,26.5,0.31,1.3
2025-03-09,Ayawaso West,West Dumping Site,19.12,9.38,49.0,1.17,6.1,4.25,22.2,1.46,7.6,2.87,15.0
2025-03-10,Ablekuma North,North Dumping Site,21.02,6.7,31.9,2.86,13.6,5.38,25.6,4.32,20.6,1.75,8.3
2025-03-10,Ayawaso West,West Dumping Site,20.59,15.91,77.3,0.58,2.8,1.36,6.6,0.29,1.4,2.46,11.9
2025-03-11,Ablekuma North,North Dumping Site,20.56,10.46,50.9,2.61,12.7,1.95,9.5,4.64,22.6,0.9,4.4
2025-03-11,Ayawaso West,West Dumping Site,17.84,3.74,21.0,0.18,1.0,10.0,56.1,3.41,19.1,0.51,2.9
2025-03-12,Ablekuma North,North Dumping Site,28.09,10.09,35.9,0.53,1.9,3.04,10.8,0.84,3.0,13.6,48.4
2025-03-12,Ayawaso West,West Dumping Site,22.79,10.07,44.2,4.15,18.2,0.68,3.0,3.84,16.8,4.06,17.8
2025-03-13,Ablekuma North,North Dumping Site,27.44,10.64,38.8,3.12,11.4,0.62,2.3,6.09,22.2,6.97,25.4
2025-03-13,Ayawaso West,West Dumping Site,24.07,4.64,19.3,8.3,34.5,3.83,15.9,4.16,17.3,3.14,13.0
2025-03-14,Ablekuma North,North Dumping Site,25.26,2.23,8.8,4.19,16.6,14.04,55.6,1.69,6.7,3.11,12.3
2025-03-14,Ayawaso West,West Dumping Site,19.1,11.87,62.1,2.19,11.5,0.68,3.6,2.88,15.1,1.48,7.7
2025-03-15,Ablekuma North,North Dumping Site,27.75,6.96,25.1,0.88,3.2,9.54,34.4,3.31,11.9,7.05,25.4
2025-03-15,Ayawaso West,West Dumping Site,20.99,13.28,63.3,2.24,10.7,0.68,3.2,1.52,7.2,3.27,15.6
2025-03-16,Ablekuma North,North Dumping Site,25.89,0.11,0.4,11.28,43.6,8.52,32.9,3.96,15.3,2.01,7.8
2025-03-16,Ayawaso West,West Dumping Site,20.78,1.53,7.4,10.61,51.1,1.45,7.0,2.71,13.0,4.5,21.7
2025-03-17,Ablekuma North,North Dumping Site,25.77,17.08,66.3,1.51,5.9,3.58,13.9,1.86,7.2,1.74,6.8
2025-03-17,Ayawaso West,West Dumping Site,19.78,0.36,1.8,9.05,45.8,6.72,34.0,0.51,2.6,3.14,15.9
2025-03-18,Ablekuma North,North Dumping Site,24.42,0.59,2.4,2.54,10.4,16.03,65.6,1.05,4.3,4.21,17.2
2025-03-18,Ayawaso West,West Dumping Site,20.9,6.71,32.1,1.27,6.1,6.1,29.2,2.15,10.3,4.68,22.4
2025-03-19,Ablekuma North,North Dumping Site,26.76,1.0,3.7,19.05,71.2,4.09,15.3,2.18,8.1,0.44,1.6
2025-03-19,Ayawaso West,West Dumping Site,26.57,7.87,29.6,9.97,37.5,0.15,0.6,6.32,23.8,2.26,8.5
2025-03-20,Ablekuma North,North Dumping Site,21.81,5.13,23.5,2.14,9.8,12.07,55.3,0.65,3.0,1.82,8.3
2025-03-20,Ayawaso West,West Dumping Site,21.42,0.42,2.0,8.96,41.8,7.27,33.9,1.03,4.8,3.74,17.5
2025-03-21,Ablekuma North,North Dumping Site,25.68,3.39,13.2,1.25,4.9,0.44,1.7,10.23,39.8,10.37,40.4
2025-03-21,Ayawaso West,West Dumping Site,23.92,4.43,18.5,1.83,7.7,1.9,7.9,5.72,23.9,10.05,42.0
2025-03-22,Ablekuma North,North Dumping Site,25.75,5.86,22.8,0.5,1.9,1.01,3.9,13.06,50.7,5.32,20.7
2025-03-22,Ayawaso West,West Dumping Site,21.04,0.14,0.7,1.62,7.7,16.54,78.6,0.08,0.4,2.66,12.6
2025-03-23,Ablekuma North,North Dumping Site,30.6,10.03,32.8,2.41,7.9,11.84,38.7,2.57,8.4,3.74,12.2
2025-03-23,Ayawaso West,West Dumping Site,21.42,4.72,22.0,3.61,16.9,6.51,30.4,3.69,17.2,2.89,13.5
2025-03-24,Ablekuma North,North Dumping Site,24.26,1.08,4.5,0.98,4.0,12.66,52.2,1.75,7.2,7.8,32.1
2025-03-24,Ayawaso West,West Dumping Site,17.74,3.67,20.7,5.83,32.9,2.57,14.5,3.17,17.9,2.5,14.1
2025-03-25,Ablekuma North,North Dumping Site,26.88,2.01,7.5,0.15,0.6,6.32,23.5,1.19,4.4,17.2,64.0
2025-03-25,Ayawaso West,West Dumping Site,17.43,6.2,35.6,4.96,28.5,0.93,5.3,0.03,0.2,5.31,30.5
2025-03-26,Ablekuma North,North Dumping Site,26.42,10.98,41.6,6.36,24.1,1.16,4.4,1.61,6.1,6.31,23.9
2025-03-26,Ayawaso West,West Dumping Site,19.78,1.42,7.2,0.69,3.5,3.02,15.3,10.22,51.7,4.43,22.4
2025-03-27,Ablekuma North,North Dumping Site,22.35,2.5,11.2,12.06,54.0,0.39,1.7,1.91,8.5,5.49,24.6
2025-03-27,Ayawaso West,West Dumping Site,20.46,6.07,29.7,5.37,26.2,5.45,26.6,2.0,9.8,1.56,7.6
2025-03-28,Ablekuma North,North Dumping Site,26.55,7.17,27.0,8.68,32.7,2.54,9.6,2.47,9.3,5.68,21.4
2025-03-28,Ayawaso West,West Dumping Site,21.54,3.5,16.2,4.03,18.7,5.29,24.6,7.35,34.1,1.37,6.4
2025-03-29,Ablekuma North,North Dumping Site,22.68,7.4,32.6,0.31,1.4,5.37,23.7,6.7,29.5,2.89,12.7
2025-03-29,Ayawaso West,West Dumping Site,19.29,5.49,28.5,0.19,1.0,0.23,1.2,10.63,55.1,2.74,14.2
2025-03-30,Ablekuma North,North Dumping Site,25.19,13.08,51.9,2.16,8.6,8.68,34.5,0.79,3.1,0.47,1.9
2025-03-30,Ayawaso West,West Dumping Site,16.77,1.68,10.0,1.72,10.3,2.25,13.4,2.87,17.1,8.25,49.2
2025-03-31,Ablekuma North,North Dumping Site,18.92,11.6,61.3,2.31,12.2,4.23,22.4,0.6,3.2,0.19,1.0
2025-03-31,Ayawaso West,West Dumping Site,20.56,9.65,46.9,5.31,25.8,3.5,17.0,1.54,7.5,0.56,2.7
2025-04-01,Ablekuma North,North Dumping Site,23.58,2.86,12.1,4.51,19.1,3.88,16.5,1.18,5.0,11.14,47.3
2025-04-01,Ayawaso West,West Dumping Site,18.04,6.16,34.1,3.72,20.6,4.35,24.1,2.5,13.9,1.31,7.3
2025-04-02,Ablekuma North,North Dumping Site,28.8,0.19,0.7,1.64,5.7,0.63,2.2,0.55,1.9,25.78,89.5
2025-04-02,Ayawaso West,West Dumping Site,17.88,6.63,37.1,3.5,19.6,0.56,3.1,3.69,20.6,3.5,19.6
2025-04-03,Ablekuma North,North Dumping Site,24.24,4.12,17.0,7.76,32.0,8.18,33.7,0.38,1.6,3.81,15.7
2025-04-03,Ayawaso West,West Dumping Site,16.26,3.28,20.2,2.33,14.3,6.47,39.8,3.58,22.0,0.59,3.6
2025-04-04,Ablekuma North,North Dumping Site,25.6,0.14,0.5,4.45,17.4,14.21,55.5,4.32,16.9,2.48,9.7
2025-04-04,Ayawaso West,West Dumping Site,18.2,3.26,17.9,1.94,10.7,2.49,13.7,8.97,49.3,1.54,8.5
2025-04-05,Ablekuma North,North Dumping Site,25.84,0.47,1.8,2.46,9.5,11.95,46.2,0.15,0.6,10.8,41.8
2025-04-05,Ayawaso West,West Dumping Site,18.13,1.27,7.0,0.48,2.6,4.56,25.1,3.79,20.9,8.03,44.3
2025-04-06,Ablekuma North,North Dumping Site,27.44,1.11,4.0,0.65,2.4,4.64,16.9,5.49,20.0,15.55,56.7
2025-04-06,Ayawaso West,West Dumping Site,21.89,2.09,9.5,1.82,8.3,5.87,26.8,1.63,7.4,10.47,47.8
2025-04-07,Ablekuma North,North Dumping Site,24.35,5.7,23.4,5.76,23.7,0.45,1.8,9.55,39.2,2.89,11.9
2025-04-07,Ayawaso West,West Dumping Site,23.3,8.33,35.8,1.83,7.9,10.74,46.1,2.34,10.0,0.05,0.2
2025-04-08,Ablekuma North,North Dumping Site,25.97,13.47,51.9,3.81,14.7,4.47,17.2,2.66,10.2,1.55,6.0
2025-04-08,Ayawaso West,West Dumping Site,19.61,1.29,6.6,3.63,18.5,4.53,23.1,5.09,26.0,5.06,25.8
2025-04-09,Ablekuma North,North Dumping Site,24.96,0.36,1.4,4.91,19.7,3.58,14.3,13.45,53.9,2.66,10.7
2025-04-09,Ayawaso West,West Dumping Site,17.31,0.77,4.4,0.96,5.5,8.92,51.5,5.99,34.6,0.66,3.8
2025-04-10,Ablekuma North,North Dumping Site,25.73,0.61,2.4,13.88,53.9,9.85,38.3,0.68,2.6,0.71,2.8
2025-04-10,Ayawaso West,West Dumping Site,18.48,8.08,43.7,0.88,4.8,0.87,4.7,3.14,17.0,5.51,29.8
2025-04-11,Ablekuma North,North Dumping Site,22.84,6.4,28.0,3.49,15.3,2.35,10.3,10.1,44.2,0.5,2.2
2025-04-11,Ayawaso West,West Dumping Site,19.36,8.72,45.0,0.15,0.8,8.13,42.0,0.74,3.8,1.63,8.4
2025-04-12,Ablekuma North,North Dumping Site,25.97,5.63,21.7,3.59,13.8,13.44,51.8,1.93,7.4,1.38,5.3
2025-04-12,Ayawaso West,West Dumping Site,17.52,3.91,22.3,0.49,2.8,6.36,36.3,0.02,0.1,6.74,38.5
